,fecha,titulo,descripcion
0,20/08/2021,Saquean cuatro camiones que transportaban ayuda humanitaria en una carretera de Haití,Al menos cuatro camiones que se disponían a entregar ayuda a las víctimas del terremoto en Haití fueron saqueadas.
1,18/08/2021,Ciudadanos en Quito prendieron fuego a motocicleta de supuestos asaltantes,"Los habitantes del barrio Daniel Serrano de la parroquia de Guamaní, sur de Quito, incineraron una motocicleta en la que se movilizaban presuntos asaltantes."
2,08/08/2021,Una mujer amenaza con un cuchillo a policías mientras detienen a sospechosos,En el video se observa un patrullero en media vía que impide el paso de un taxi en el que viajaban los sospechosos en Puembo.
3,30/07/2021,Asaltantes hacen estallar dos cajeros automáticos en Machachi; hay temor,"Dos hombres hicieron explotar dos cajeros automáticos para sustraer dinero. El hecho ocurrió la madrugada de este viernes 30 de julio del 2021, en Machachi, cantón Mejía, al sur de Quito."
4,26/07/2021,Asalto tipo sacapintas se produjo en parqueadero de centro comercial del valle de Los Chillos,"Un asalto tipo sacapintas se produjo a las 15:00 de este lunes 26 de julio del 2021, en el parqueadero de un centro comercial ubicado en la parroquia de Sangolquí."
5,21/07/2021,Disfrazados de repartidores asaltaron a comensales en un restaurante en el norte de Quito,Un grupo de motorizados asaltó con armas de fuego a los clientes de un local de comidas en el norte de Quito.
6,19/07/2021,Un juez de EE.UU. dicta la primera condena de prisión por asaltar el Capitolio,Un Tribunal Federal dictó este lunes 19 de julio la primera condena de prisión por el asalto al Congreso de Estados Unidos el pasado 6 de enero.
7,13/07/2021,Entre viernes y domingo se reporta con mayor frecuencia sucesos violentos en tres provincias del Ecuador,"El ECU 911 informó este 13 de junio que se reciben con mayor frecuencia sucesos violentos los viernes, sábados y domingos en tres provincias."
8,07/07/2021,Biden dice que asesinato de Moise es señal de crisis política en Haití,"El presidente de Estados Unidos, Joe Biden, condenó el ""atroz"" asesinato de la madrugada del presidente haitiano, Jovenel Moise."
9,07/07/2021,"Asesinan al presidente de Haití, Jovenel Moise, en su residencia","El presidente de Haití, Jovenel Moise, fue asesinado por hombres armados que perpetraron un asalto a su residencia de madrugada en el barrio de Pelerin de Puerto Príncipe."
