,fecha,titulo,descripcion
0,"agosto 25, 2021",Pillos que se enfrentaron con policías en Durán tendrían una estela de delitos,Los uniformados seguían los pasos de dos hombres y una mujer que al parecer son los mismos que cometieron otros atracos en Guayaquil
1,"agosto 25, 2021",Propietario de Aguilar y su Orquesta fue víctima de asalto: ¡Se le llevaron 4 'lucas'!,"El propietario y fundador de la agrupación había retirado 4.000 dólares de una entidad bancaria, cuando fue interceptado por los 'pillos'..."
2,"agosto 23, 2021",¡Uno de dos pillos fue agarrado por la gente de Yaruquí luego de un asalto!,A una mujer le robaron dos sujetos con arma de fuego. Uno de ellos fue retenido por los moradores mientras que el otro logró 'darse chapeta'
3,"agosto 23, 2021",Babahoyo: Se le llevaron $ 3.600 que iba a depositar al banco,La empleada de una librería intentó evitar el atraco tirando el bolso con el dinero a una vendedora de frutas pero el delincuente no se dejó amargar
4,"agosto 23, 2021",La Policía frustró asalto a local del centro de Guayaquil,"Hay cinco sospechosos detenidos, quienes llevaban tres armas de fabricación industrial"
5,"agosto 15, 2021",Manabí: Le robaron hasta la vida,Comerciante fue asesinada en Portoviejo. Delincuentes ingresaron a la vivienda de la víctima para arrebatarle el dinero recaudado en su local
6,"agosto 11, 2021",La empleada de la botica asaltada en Sauces 6 busca superar el trauma con calmantes,"La vendedora que fue golpeada, amarrada y arrastrada por una pareja, aún no se repone del susto. Los 'choros' habrían participado en robos similares"
7,"agosto 04, 2021","En Tena detienen al 'Negro Eker', un peligroso sacapintas","La aprehensión del sujeto, que según la Policía tiene 11 causas judiciales en su contra, se dio luego de reportarse un asalto y robo a mano armada"
8,"julio 26, 2021",Le robaron 10 lucas a un policía que estaba de franco,Le robaron 10 lucas a un policía que estaba de franco
9,"julio 25, 2021",Sargento se 'bajó' a dos presuntos 'piratas',"Barco que iba a la Isla Puná fue asaltado, en Guayaquil. Al menos cinco individuos armados interceptaron la nave para cometer el frustrado robo."
10,"julio 24, 2021",Dos fallecidos y un herido en intento de asalto a embarcación que se dirigía a Puná,"Los delincuentes, denominados 'piratas' del golfo, interceptaron la nave a una media hora del Puerto Principal, después de zarpara de un muelle del sur."
11,"julio 22, 2021",Un salitreño fue asesinado dentro de un bus por resistirse a asalto en el norte de Guayaquil,"La víctima se dirigía a una cita médica al hospital Teodoro Maldonado Carbo, cuando fue sorprendido por los delincuentes. Su hermano salió herido"
12,"julio 22, 2021",Ibarra: arrestan a dos extranjeros y un ecuatoriano por asalto a un camión,Los sospechosos habrían amedrentado con armas de fuego al conductor del automotor para quitarle el dinero y otros objetos que llevaba
13,"julio 21, 2021",Vinces: Los pillos se le llevaron $ 4.000 y él quedó con una bala en la pierna,Un hombre fue tiroteado luego de retirar esa cantidad de dinero en una entidad bancaria. Intentó evitar el robo y allí lo balearon
14,"julio 20, 2021",¡Asalto facilito a una gasolinera en Jama!,Tres sujetos armados llegaron al establecimiento y rodearon al empleado que tenía el dinero para quitárselo
15,"julio 07, 2021",Guayaquil: Pillos hieren a un ciudadano de un 'plomazo',Dos malandrines robaron tres 'lucas' a una pareja y arremetieron a bala contra un hombre por defender a los asaltados
16,"julio 05, 2021",Los localizan en Samborondón con la 'miota' robada,"Tres sujetos, entre ellos un menor venezolano, interceptaron a los ocupantes de una camioneta para quitársela"
17,"julio 04, 2021",Dos sujetos 'pagaron' piso por robarle a un ciudadano en Durán,"La Policía detuvo a dos supuestos malandrines, quienes despojaron de su teléfono a una persona en El Recreo"
18,"julio 03, 2021","""Te estoy llamando y no contestas"", increpó una madre a su hijo detenido","El hombre y otro sujeto estaban armados y según la Policía iban a cometer un asalto. Uno de los sospechosos, hace dos años hirió a un policía"
19,"junio 30, 2021",La Troncal: 'Choreo' en vivo y en directo en canal digital,El medio de comunicación de la provincia de Cañar sufrió un asalto durante una transmisión del noticiero el pasado lunes 28 de junio
20,"junio 28, 2021",En Quito casi los linchan por 'choros',Dos turistas fueron asaltados en en Centro Histórico. Personas que caminaban por el lugar intentaron ajusticiar a los sospechosos.
21,"junio 27, 2021",¡El ‘asalto’ sexual no esfumó sus sueños!,"La niña de 11 años violada presuntamente por su padrastro anhela ser abogada y ayudar a las víctimas de violencia. En Ecuador, solo en 2020 se denunciaron 5.644 violaciones. En 2019 la cifra fue superior: hubo 6.495 acusaciones por este delito."
22,"junio 19, 2021",Guayaquil: Pareja secuestrada y asaltada por un taxista informal,Un sospechoso fue detenido. Dentro del carro se halló el revólver calibre 38 de fabricación nacional
23,"junio 19, 2021",Herido por defender a un 'pana',Pillos dispararon contra el chofer de un camión cuando intentaban huir
24,"junio 15, 2021",Guayaquil: Frustran asalto a comerciante en alrededores de mercado mayorista,La Policía aprehenden a tres sujetos armados que estaban listos para cometer el delito. Uno de ellos es venezolano y otro colombiano
25,"junio 10, 2021",Transeúntes por poco linchan a un presunto delincuente,Asalto en local de La Bahía terminó en persecución ciudadana y golpiza a uno de los presuntos delincuentes.
26,"junio 09, 2021",Carapaz está listo para el asalto en la montaña,"El ciclista ecuatoriano se mantiene en el séptimo lugar del Tour de Francia, tras llegar con el pelotón principal a la meta de la cuarta etapa."
27,"junio 01, 2021",Guayaquil: Atender emergencias de 'una' en la ciudad es un reto,Este martes asaltaron al abogado Joselito Argüello y el tiempo de respuesta ante una alerta en la urbe se pone en entredicho
28,"mayo 20, 2021",Les 'cayó' la ley a cinco presuntos integrantes de Los Choneros,Los sospechosos se dedicaban al asalto y robo a mano armada y habrían estado planificando un nuevo 'golpe'. Se les encontró hasta un fusil
29,"mayo 14, 2021",Guayaquil: Asaltada con pistola de juguete,"Una mujer que salía de un gimnasio fue amedrentada por dos sujetos, quienes le quitaron su teléfono celular. Dos sospechosos fueron detenidos"
30,"mayo 03, 2021",Asaltaron 'en gajo' a pasajeros de un bus en la vía Perimetral de Guayaquil,Cuatro hombres y una mujer se embarcaron para robar a mano armada. El atraco quedó registrado en las cámaras de seguridad del micro
31,"mayo 01, 2021",Le dispararon a un taxista por no dejarse robar,Los delincuentes iban en una motocicleta cuando lo interceptaron por una carretera de Los Ríos. El hombre se metió a un arrozal para pedir auxilio
32,"abril 30, 2021",Asalto frente a las costas de Manta,Más de 20 mil dólares en robo a pescadores. Los perjudicados estuvieron 5 horas a la deriva
