,fecha,titulo,descripcion
0,31/07/2021,"El HIIT con cuerda, un potente quema grasa","Con solo la soga o combinándola con otros ejercicios, los amantes del Entrenamiento a Intervalos de Alta Intensidad (HIIT) arman circuitos poderosos para quemar masa grasa. Duran 20 minutos."
1,23/03/2021,Vecinos graban asaltos a conductores en las calles de Quito,"Las personas que residen en barrios del centro de Quito han grabado los momentos en que agresores asaltan a conductores que detienen sus autos por el semáforo en el sector de El Trébol y la vía al valle de Los Chillos, en el centro de la capital. Video: Cortesía"
2,23/03/2021,"Videos registran asaltos tipo bujiazo en la avenida Velasco Ibarra, en Quito","Los asaltos violentos a conductores de vehículos particulares, bajo la modalidad denominada 'bujiazo', se reportan con frecuencia en diferentes sectores de la avenida José María Velasco Ibarra, la autopista General Rumiñahui y el intercambiador de El Trébol, oriente de Quito."
3,22/03/2021,"Los robos atemorizan a los vecinos del barrio Balcón del Valle, en Quito","La calle 15 de Noviembre del barrio Balcón del Valle, ubicado a la altura del puente 2 de la autopista General Rumiñahui, oriente de Quito, se ha convertido en un foco de inseguridad, indican los moradores. Aseguran que los robos y asaltos se reportan a cualquier hora y se organizan para conformar brigadas de seguridad."
4,08/03/2021,El goleador Rogelio Funes Mori sale ileso de asalto a su casa en Monterrey,"El goleador argentino Rogelio Funes Mori y su familia salieron ilesos este domingo 7 de marzo del 2021 de un asalto a su casa, en el sur de la ciudad de Monterrey, confirmaron este lunes los medios locales."
5,04/03/2021,Inhabilitan a un sacerdote tras atracar tres establecimientos en Brasil,"Un cura brasileño fue inhabilitado de sus funciones tras atracar tres establecimientos en la localidad brasileña de Passo Fundo (sur), según confirmó este jueves 4 de marzo del 2021 su abogada, que explicó que el sacerdote tenía problemas psiquiátricos."
6,01/03/2021,En apenas 12 días una mujer sufrió dos asaltos en Cumbayá y Quito,"Lorena (nombre protegido), de 38 años, sufrió un asalto cuando salió a trabajar en el automóvil de su prima, al mediodía del jueves 11 de febrero del 2021, en una zona abandonada cerca de Lumbisí y San Francisco de Pinsha, en la parroquia Cumbayá, en el oriente de Quito."
7,04/02/2021,A un hombre lo asaltaron con cuchillo en las inmediaciones del Hospital Carlos Andrade Marín,"Un familiar de Víctor J. fue víctima de un asalto con arma blanca al mediodía del miércoles 3 de febrero del 2021, en las calles Rafael de Soto y Bolivia que se ubican en las inmediaciones del Hospital Carlos Andrade Marín (HCAM), en el centro-norte de Quito. El hecho ocurrió mientras la víctima se encontraba al interior de su vehículo."
8,05/01/2021,Sospechosa usa pijama para robar vehículo en el sur de Quito; vecinos de La Gatazo denuncian asaltos constantes,"El local de soluciones informáticas y pagos de servicios de Juan Carlos, ubicado en la calle Pilaló, en La Gatazo, en el sur de Quito, permanece cerrado con rejas."
9,26/12/2020,Plan de seguridad se aplica en carreteras de Ecuador para evitar asaltos,"Los datos constan en los informes que recopila la Policía y muestran los puntos más “vulnerables”, en los que se producen ataques a los conductores."
10,22/12/2020,356 zonas a escala nacional tendrán mayor vigilancia para evitar asaltos,"Un día después de que se emitiera el estado de excepción por el covid-19, los policías recibieron la orden de reforzar las seguridades en avenidas, barrios, restaurantes y en zonas comerciales y financieras."
11,17/12/2020,Cuatro recomendaciones para prevenir el robo de domicilios en diciembre,"Tres hombres salieron de un vehículo gris y se acercaron al portón de una casa ubicada en Carcelén, en el norte de Quito. Intentaron, durante un minuto y medio, forzar las seguridades de la vivienda."
12,15/12/2020,Agentes especiales capturan a sospechosos de asaltos y robos en Machachi,"Un grupo de agentes especiales de la Policía Nacional realizó un operativo en el que capturaron a un grupo de personas en Machachi, al sur de Quito. Los sospechosos son señalados por asaltos tipo 'sacapintas' y robos a tiendas y gasolineras. Video: Cortesía"
13,13/12/2020,Policía refuerza la vigilancia en centros de comercio de Guayaquil,"Los dispositivos para reforzar la seguridad de las personas por festividades de Navidad y Fin de Año están activados. El domingo 13 de diciembre de 2020, se visualizaron varios contingentes policiales en los principales puntos de comercio en Guayaquil."
14,10/12/2020,Vecinos se agrupan en 2 413 chats para frenar los asaltos en Ecuador,"En menos de una hora, los vecinos de la Jipijapa, un barrio del norte quiteño, enviaron seis alertas de inseguridad a través del chat comunitario que mantienen con la Policía del sector."
15,08/12/2020,Agentes de la ATM y de la CTE hacían operativos para asaltar a conductores en carreteras cercanas a Guayaquil,"Un agente de la Autoridad de Tránsito Municipal de Guayaquil (ATM), un vigilante de la Comisión de Tránsito del Ecuador (CTE), una persona privada de la libertad (PPL) y otros dos sospechosos más fueron procesados por su presunta responsabilidad en el delito de delincuencia organizada. La Fiscalía los investiga por los asaltos a mano armada en carreteras que conducen al Puerto Principal."
16,08/12/2020,La Policía implementó el plan ‘Diciembre seguro’ para prevenir robos y asaltos,"Los asaltos a personas son los delitos que causan mayor preocupación a la Policía Nacional en Quito. Según datos de esa entidad, difundidos el martes 8 de diciembre del 2020, desde enero hasta el 30 de noviembre del presente año se reportaron 4 172 casos frente a los 6 363 ocurridos en el mismo periodo del 2019."
