,fecha,titulo,descripcion
0,"agosto 24, 2021",Motociclistas se llevaron $ 7.500 de dos locales en Babahoyo y Montalvo,Los asaltos se cometieron casi de la misma forma y a la misma hora en la provincia de Los Ríos y en el cantón Montalvo
1,"julio 21, 2021",En 8 horas balearon a cuatro personas en Guayaquil y Durán,Dos personas murieron y otras dos sobrevivieron a los ataques perpetrados en diferentes sectores de los cantones de la zona 8
2,"julio 15, 2021",Manta: dos peligrosos 'sacapintas' detenidos,"Ambos tienen una serie de detenciones anteriores por robos, asaltos a mano armada y otros delitos"
3,"julio 08, 2021",Pillos se ‘burlan’ de control antidelictivo en Babahoyo,Dos ciudadanos fueron asaltados en el cantón riosense. A uno le dieron un tiro por oponerse al delito
4,"julio 06, 2021",Pescadores de ‘patrullaje’ por el mar,Irán con los marinos a zonas donde realizan sus faenas. Medida fue anunciada luego de una protesta por los constantes asaltos
5,"julio 05, 2021",Suplicaron de rodillas para frenar asaltos,Pescadores de Santa Elena se sienten abandonados por las autoridades y por eso realizaron una protesta
6,"julio 04, 2021","Richard Carapaz: ""Quedan dos asaltos""",La Locomotora del Carchi calificó de positivo su desempeño en la primera semana del Tour de Francia. Ya es quinto y promete dar pelea por el título
7,"julio 04, 2021",Inseguridad: Denuncias por robos aumentaron frente al 2020,"De acuerdo a estadísticas presentadas por la Fiscalía, entre enero y mayo de 2021 se incrementó este tipo de delito en todas sus modalidades"
8,"julio 01, 2021",La Policía le 'corta viada' a 11 pillos que robaban en cantones de Guayas,Mediante 20 allanamientos ejecutados en las últimas horas 'cayeron' los sujetos implicados en distintos atracos
9,"junio 09, 2021",'Llueven' los asaltos en alta mar,"En esta semana, los llamados 'piratas' perpetraron 10 asaltos a pescadores de Anconcito y 6 a los del puerto de Santa Rosa"
10,"junio 09, 2021",En Portoviejo detienen a seis 'pelados' sospechosos de asaltos a mano armada,"A través de 12 allanamientos, la Policía y Fiscalía desarticulan una presunta organización delictiva integrada por chicos de entre 19 y 25 años"
11,"junio 07, 2021",Guayaquil: Golpearon a una adolescente por robarle un celular,"La víctima vendía jugos en Urdesa central. Dos sospechosos fueron detenidos tras una persecución, que terminó en el cerro de Mapasingue."
12,"mayo 07, 2021",Dos presos dirigían desde la 'cana' una banda delictiva,"La agrupación delincuencial cometía asaltos en restaurantes, negocios y buses. Otras siete personas se encargaban de dar los 'golpes'"
13,"mayo 06, 2021","¡En Quito, mucho ojo con el 'paraguazo'!","En Turubamba, una cámara registró cuando seis pillos camuflados con sombrillas, intentaron robar un negocio. La policía ofrece trabajar al respecto"
14,"abril 04, 2021",Guayaquil: Asaltaban con arma de juguete,"Dos sujetos fueron detenidos tras el robo de teléfonos celulares a un grupo de personas, en el norte de la urbe porteña"
15,"marzo 19, 2021",Tuvieron un mal día: no pudieron robar a transeúntes y luego la Policía los atrapa,Un ecuatoriano y un extranjero andaban juntos asaltando a la gente en el sur de Guayaquil
16,"febrero 26, 2021",La Policía los pesca cuando intentaban 'tumbar' a transeúntes en la Entrada de la 8,Dos sujetos fueron detenidos en ese populoso y agitado sector del noroeste de Guayaquil
17,"febrero 25, 2021",Guayaquil: Por robar una 'soga' bañada en oro hoy están presos,"Dos asaltantes que habían robado la cadena y una esclava de plata a un taxista informal, fueron capturados en el noroeste de la ciudad"
18,"febrero 24, 2021","Armas, municiones y droga incautan a rufianes en distintos barrios guayacos",Tres individuos fueron capturados por supuesta tenencia de revólveres y sustancias ilegales en las últimas horas
19,"febrero 23, 2021",Se acabaron las andadas de tres jóvenes que asaltaban a mano armada en Guayaquil,El trío de pillos fue detenido cuando robaba a los pasajeros de un bus urbano en el centro de la ciudad
20,"febrero 10, 2021","En Guayaquil, pillos cometían asaltos con una pistola de mentirita","La Policía aprehendió a cuatro sospechosos de robos en el norte de la ciudad. Además del arma de plástico, se les encontró tarjetas, dinero..."
21,"febrero 02, 2021",Quisieron hacerle el 'pele' a camaronera de El Morro,"La Policía llegó cuando los antisociales salían con un camión cargado de motores, electrodomésticos y otros objetos. Los pillos pudieron escapar"
22,"febrero 01, 2021",¡Al calabozo dos sospechosos de asaltar a mano armada a los guayacos!,"Un ciudadano asaltado los reconoció como los supuestos ladrones, una vez que cayeron en manos de la Policía"
23,"enero 11, 2021",En San Roque: “Hay más ladrones que usuarios”,Ciudadanos sienten que en los últimos meses ha habido un incremento de inseguridad y también de violencia. Una afectada cuenta cómo la atacaron.
24,"diciembre 25, 2020",Asaltan a pasajeros y jornaleros en Los Ríos,"Pillos despojaron a sus víctimas de celulares, dinero y otros objetos"
25,"diciembre 16, 2020",Este año 'cayeron' 13 bandas en dos zonas de Guayaquil,"En el centro y en el norte de la urbe, la Policía detuvo a delincuentes implicados en asaltos durante este 2020"
26,"diciembre 10, 2020",En moto y a la 'brava' roban en el Comité del Pueblo de Quito,Varios videos de han viralizado en la red. Testigos aseguran que los sospechosos llevan algunas semanas en la zona.
27,"diciembre 07, 2020",¡Delincuencia imparable en Quito!,En una carnicería se defendieron con un ambientador y en una casa de cambios aún investigan cómo los pillos entraron a robar.
28,"diciembre 01, 2020",Quito: terminaron las andadas de dos pillos en taxi,"Luego de un asalto en Conocoto, la Policía buscó a los sospechosos y los aprehendió junto al vehículo amarillo. Hoy son investigdos por otros robos"
29,"noviembre 30, 2020",Guayas: sacan de 'circulación' a 7 asaltantes de carreteras,La Policía desarticuló una organización delictiva que cometía asaltos en los ejes viales de la provincia
30,"noviembre 26, 2020",Un pillo y su moto quedaron aporreados al tratar de 'sacársela' después de un asalto,Un sujeto armado sufrió un accidente al tratar de escapar de la Policía. Su captura ocurrió en las calles del suburbio de Guayaquil
31,"noviembre 23, 2020",Asaltantes no pudieron llevarse un camión con camarón,Un enfrentamiento a bala con guardias y policías permite recuperar el vehículo en el Km. 5 de la vía Durán Tambo
32,"noviembre 20, 2020",Vecinos de La Floresta ‘paniqueados’ por tanto robo,"Además de los asaltos, los residentes son víctimas de hurtos durante las noches."
33,"noviembre 20, 2020",'Tapiñaron' la pistola bajo la tapicería del auto,Cuatro hombres fueron detenidos por estar implicados en varios asaltos. Entre los aprehendidos había dos menores de edad.
34,"noviembre 17, 2020","Dos pillos resultaron 'abollados' al chocar contra un patrullero, mientras escapaban",Tres sujetos acusados de robos y asaltos a mano armada fueron atrapados durante una persecución en el sur de Guayaquil. Dos fueron a dar al hospital
35,"noviembre 13, 2020",El camión tenía GPS y eso les dañó la fiesta a los pillos,"Un falso vigilante los había parado en la vía a Daule para robarles, pero el automotor y parte de la mercadería pudieron ser recuperados"
36,"octubre 16, 2020",Perdió a su amiga y los regalos que llevaban a una fiesta,"Pillos dispararon y las asaltaron por el sector Playones, en el cantón Yaguachi"
37,"octubre 09, 2020",Moda 'antichoros': ciudadanos los amarran en desquite por asaltos,Dos sospechosos de robar en una casa fueron atados a postes en el suroeste de Guayaquil. El 26 de septiembre hubo otro caso en la vía Perimetral
38,"octubre 06, 2020",¡'Peluqueada' con 'choreo'!,Dos asaltantes hicieron de las suyas en una barbería en el norte de Guayaquil. Uno de los delincuentes fingió ser cliente para robar
39,"septiembre 18, 2020",Se acabó la ‘fiesta’ en anillo vial de Quevedo,Policía atrapó a un sujeto que estaría vinculado en asaltos y la muerte de un camionero
40,"septiembre 17, 2020",Capturó a sospechosa de contratarlo para flete que resultó ser un intento de asalto,"En medio trayecto, tres tipos intentaron asaltar al camionero, pero este logró huir y llevar ante la Policía a la mujer que lo había engañado"
41,"septiembre 11, 2020",Asaltos en mercado de La Libertad,Unos sujetos armados llegaron y amenazaron con disparar a comerciantes y usuarios para que les entreguen dinero
42,"septiembre 08, 2020",Con una piedra le quitaron dinero,Motorizados bloquearon la marcha de carro donde se transportaba empleada. Unos trabajadores también se quedaron sin sueldo
43,"septiembre 04, 2020","¿Ministra Romo, capturó a todos los niños?",La ministra María Paula Romo compartió una foto con la marca de agua de CAPTURADOS sobre la de los jóvenes en vez de hacerlo sobre los delincuentes.
44,"septiembre 04, 2020",Dos detenidas por 'sacar pinta' a usuarios de bancos,"Policía hizo operativos simultáneos en Manta, Montecristi y Portoviejo. También están vinculados dos internos de Centro de Rehabilitación"
45,"septiembre 03, 2020",Cinco detenidos por robo en Guayaquil,"Los sospechosos sometieron a un hombre que salía a su trabajo, en Mucho Lote."
46,"agosto 19, 2020",¡Trepó como ‘Spiderman’ para robar en la Nueva Kennedy!,"Un sujeto subió la cerca de un domicilio para luego sustraer varios objetos, en la ciudadela Nueva Kennedy, en Guayaquil"
47,"agosto 14, 2020","Dejaron 'botada' a mujer, presunta cómplice de robo de una tricimoto","El asalto ocurrió ayer, en la cooperativa Ficoa de Montalvo, en el norte de Guayaquil. El vehículo fue recuperado, pero con un revólver dentro"
48,"agosto 13, 2020",¡Grabados en acción!,Temor por aumento de asaltos y robos en la península. En varios locales los pillos quedaron evidenciados en las cámaras de videovigilancia
49,"agosto 12, 2020",¡Cayó el terror de David!,"La víctima conoció al hombre a través de una red social. Cuando decidió invitarlo a su casa, este lo habría drogado para robarle Ayer lo capturaron"
50,"agosto 08, 2020",En dos golpes se llevaron $ 4.700,En Babahoyo y Montalvo se cometieron los dos asaltos a plena luz del día
51,"agosto 03, 2020",Ocho 'pillos' fueron detenidos en tres distintos casos en Quito,Los asaltos se registraron en dos sectores del sur de la capital y uno en el norte. Varios de los sospechosos tienen antecedentes penales por robo.
52,"julio 29, 2020",Detienen a 3 presuntos cacos con 'truenos' y celulares en el suroeste y centro de Guayaquil,"En el suburbio y en el centro de Guayaquil, la Policía capturó a tres delincuentes involucrados en robos"
53,"julio 28, 2020",El terror y la inseguridad viajan en los buses de Quito,Víctimas y testigos de asaltos cuentan los momentos de miedo e inseguridad que viven en estos días dentro de las unidades del transporte urbano
54,"julio 19, 2020",¡Se les llevaron tres 'lucas' a dos comerciantes!,En el robo están implicados tres ciudadanos. Uno de ellos escapó y los restantes fueron capturados
55,"julio 15, 2020",¡‘Chineados’ y lanzados de un vehículo!,"Abordaron un taxi en el centro de Guayaquil. En diez minutos de terror, los esposos fueron golpeados y amenazados de muerte."
56,"julio 02, 2020",Banda 'arrasaba' con todos los delitos en Manabí,"Policía desarticuló a la agrupación que presuntamente se dedicaba a robos, asaltos, secuestros y más"
57,"junio 24, 2020",Pillos dispararon a policías cuando huían pero terminaron entre rejas,"Los sospechosos habrían robado seis celulares antes de ser perseguidos por los agentes, en el norte de Quito. Dos fueron detenidos y un tercero escapó"
58,"junio 11, 2020","Mujer, víctima de un asalto, fue arrastrada en la moto del delincuente",El incidente ocurrió en Argentina. La fémina fue trasladada a un hospital de la localidad. El delincuente que solo se le llevó el celular fue agarrado por las autoridades.
59,"noviembre 23, 2019",La estrategia de los asaltos en la Mariscal Sucre,"Romina fue víctima de un asalto mientras iba como pasajera en un taxi. Dos tipos se lanzaron al auto. Uno de ellos le quitó el teléfono, la cartera y le hirió en la mano con un cuchillo."
60,"septiembre 15, 2019",Aumentan asaltos en Urdesa,
61,"septiembre 03, 2019",¡Prendieron fuego a dos sujetos por robo en Calderón!,Los moradores dicen estar cansados por los frecuentes asaltos en el sector.
62,"agosto 28, 2019",Editorial: Nuevos asaltos en Urdesa,"La delincuencia, que opera con mayor intensidad donde se pueda sacar mayor provecho con asaltos y extorsiones, parece haber escogido a Urdesa para sus actividades ilícitas y violentas."
63,"julio 14, 2019",Editorial: Creciente ola de asaltos,
64,"abril 22, 2019",Banda de sacapintas fue desarticulada en Quito,Los cuarto sospechoso fueron vinculados a tres asaltos pesados en el sur de la urbe. Veinte mil dólares era el botín.
65,"abril 18, 2019",Habrían andado en tricimoto para amagar y ‘chorear’,"Tres sujetos fueron capturados la tarde de este jueves 18 de abril de 2019, por ser sospechosos de cometer asaltos en la Isla Trinitaria."
66,"marzo 28, 2019",Tres adolescentes esmeraldeños vinculados con asaltos en Quito,Fueron detenidos al ser vinculados en un asalto. Tenían dos cuchillos y un arma de fuego. Están involucrados también en asaltos a autobuses en la avenida Simón Bolívar.
67,"marzo 10, 2019",Tribuna del lector: ¿Por qué cree que aumentaron los asaltos en Quito?,
68,"febrero 19, 2019",Buses cuentan con botón de pánico,"El dispositivo servirá como alerta en caso de asaltos. 260 buses, de los 2600 que circulan por la ciudad, lo tienen instalado."
69,"enero 31, 2019",Policía toma medidas para evitar más asaltos ‘sacapintas’ en Ambato,Este jueves se inició con una campaña masiva para los gerentes y encargados de bancos y cooperativas
70,"diciembre 27, 2018",‘Amantes de lo ajeno’ roban a personajes públicos,La reina de Quito y una cantante de música popular fueron víctimas de asaltos en esta última semana del año en la ciudad. A nivel internacional también han robado a famosos.
71,"noviembre 06, 2018",Editorial: Creciente audacia en asaltos y robos,"No hay duda que la delincuencia está cada vez más audaz y, por ende, más peligrosa."
72,"octubre 27, 2018",Los 10 delitos de mayor impacto que afectan al país,"Violaciones, femicidios, homicidios, asaltos a bancos, entre otros, son algunos de los sucesos que generan mayor impacto en la sociedad por las circunstancias en las que ocurre."
73,"octubre 21, 2018",Editorial: Detener asaltos con agresiones,"En los últimos días de la semana que terminó recién se dieron continuas situaciones de asaltos a damas, señoritas y señoras en diferentes barrios, ciudadelas y sitios de la urbe."
74,"agosto 30, 2018",Caricatura: Aumentan los asaltos,
75,"agosto 12, 2018",¡Hay que andar con cuidado por Iñaquito!,"Vendedores han sido testigos de asaltos a mano armada, pero dicen que no se atreven a intervenir por miedo a represalias."
76,"junio 16, 2018","Columnas: Frías estadísticas, duras realidades","En la provincia del Guayas hubo en 2017, 51 asaltos a embarcaciones y, entre enero y abril del presente año, 18."
77,"mayo 23, 2018",‘Cayeron’ la Rata y sus compinches,La banda fue atrapada acusada de asaltos y tráfico de droga.
78,"mayo 15, 2018",Desmanes en Manta por presuntos hinchas del Atlético Nacional,"Asaltos a mano armada a transeúntes y taxistas en la avenida Malecón, destrucción de una pared que tenía dibujado el escudo de Emelec, en el barrio Santa Mónica, daños en las puertas de una hostal en la parroquia Tarqui, decomiso de armas blanca, entre"
79,"febrero 18, 2018",Columnas: Crece la inseguridad social en la Amazonía,"Pese a los operativos de control que ejecutan la Policía Nacional y el Ejército en la provincia de Orellana, los pobladores se quejan de la inseguridad social, pues son frecuentes los asaltos y otros hechos violentos."
80,"agosto 30, 2017",Asaltos a buses en vía a Cuenca preocupa a choferes y directivos,"Preocupación, y malestar hay entre en los conductores de las empresas de transporte interparroquial e interprovincial que utilizan la vía Cuenca-Molleturo-Puerto Inca, debido a la cantidad de asaltos a las unidades."
81,"julio 10, 2017",Las motos en el delito,"Desde hace largo tiempo los asaltos con muertes se cometen con frecuencia desde las motocicletas en que los maleantes asaltan, roban y asesinan a ciudadanos pacíficos."
82,"mayo 01, 2017",Editorial: Continuos asaltos en los colectivos,
83,"noviembre 13, 2016",Editorial : ¿Descuido o complicidad en asaltos?,
84,"octubre 19, 2016","En Quito, la gente podrá reconocer sus cosas robadas",Las personas que han sido víctimas de asaltos y robos ahora podrán reconocer las pertenencias que les fueron arrebatadas. La Policía Judicial tiene como meta que los perjudicados reconozcan sus objetos.
