,fecha,titulo,descripcion,is_fake,descripcion_stem
0,2021-01-29,Lasso: “Les agrandaré la riata 10 cm a todos los ecuatorianos “,"En redes sociales se viralizó el extracto de una entrevista al candidato presidencial Guillermo Lasso (CREO-PSC) por La Posta realizada el 27 de marzo de 2020. En el video de 0:29 segundos, cuya integridad ha sido discutida, el político dice que para poder enfrentar la emergencia sanitaria es necesaria una ley que flexibilice la contratación laboral. Lasso habla de un salario de $120 al mes para que “al menos puedan vivir con un trabajo estable, firme”. El video ha sido publicado por diferentes cuentas en Twitter y Facebook, así como en páginas de web que titulan “Lasso propone un salario de $120 con su ley de oportunidades”.",1,red social viraliz extract entrev candidat presidencial guillerm lass cre psc post realiz marz vide segund cuy integr sid discut pol tic dic pod enfrent emergent sanitari necesari ley flexibilic contrataci n laboral lass habl salari mes men pued viv trabaj establ firm vide sid public diferent cuent twitt facebook as p gin web titul lass propon salari ley oportun
1,2021-01-29,Los perros del Ministro de Salud se encuentra a salvo,"En un video de seis minutos y 25 segundos, el titular de Salud Pública, Juan Carlos Zevallos, dijo que el país puede estar tranquilo, porque su seres queridos ya están vacunados contra el COVID-19, incluidos sus dos perros. El ministro justificó su decisión de vacunar a sus perros porque el COVID-19 también se transmite en los animales.",1,vide seis minut segund titul salud p blic juan carl zevall dij pa s pued tranquil ser quer est n vacun cov inclu dos perr ministr justific decisi n vacun perr cov tambi n transmit animal
2,2021-01-10,Isidro Romero le metió una patada a un niño que no lo saludó,"El candidato presidencial por el movimiento AVANZA, Isidro Romero, al salir del primer debate presidencial, le metió un puntapié violento a un niño de 9 años que estaba vendiendo chicles a la salida del debate. Cuando Isidro Romero salía del debate presidencial y se dirigía a su automovil con sus guarda espaldas, un niño de la calle se acercó con una vela y le dijo “¡Compre chicles vea!”, el candidato presidencial lo miró y le metió una patada al niño.",1,candidat presidencial movimient avanz isidr romer sal prim debat presidencial meti puntapi violent vend chicl sal debat isidr romer sal debat presidencial dirig automovil guard espald call acerc vel dij compr chicl vea candidat presidencial mir meti pat
3,2020-11-16,Colombiana prepago afirma que “los ecuatorianos lo tienen chiquito”,"Esta hermosa dama se dio el lujo de insultar al pais que le da de comer. Esta colombiana escribió en sus redes sociales que los ecuatorianos lo tienen chiquito, y son feos; obviamente al recibir unos cuantos mensajes de cariño, borró el mensaje. Pero el tío mercioco encontró su teléfono y resulta que… ha sido prepago! ¿Quieres mandarle un mensajito? 09 98 15 44 03. Porque con el tamaño nuestras anacondas y con la selección no se juega.",1,hermos dam dio luj insult pais da com colombian escribi red social ecuatorian chiquit feos obvi recib cuant mensaj cari borr mensaj t mercioc encontr tel fon result sid prepag quier mand mensajit tam anacond selecci n jueg
4,2020-08-30,Uber eats premia a Maria Paula Romo por ser la mejor repartidora del año,"La cadena mundial de repartición de comida a domicilio Uber Eats entregó este sábado el premio a la mejor repartidora del año a la Ministra María Paula Romo. La cadena Uber Eats premia cada año a los mejores repartidores y este año el palmarés se lo lleva el Ecuador.  Según el gerente de Uber Eats, Romo ha demostrado un gran performance en el reparto y al tratarse de hospitales está en otro nivel.",1,caden mundial repartici n com domicili uber eats entreg s bad premi mejor repartidor ministr mar paul rom caden uber eats premi cad mejor repartidor palm s llev ecuador seg n gerent uber eats rom demostr gran performanc repart trat hospital est nivel
5,2020-08-20,Ecuatorianos ya pueden reservar su vacuna por 1000 usd,"Después de tantos meses de sufrimiento en octubre 2020 la primera vacuna contra el coronavirus COVID-19 ya estará a la venta en el Ecuador. UN grupo de emprendedores ecuatorianos pondrán al alcance de los ecuatorianos la vacuna desarrollada por la Universidad de Oxford, la vacuna China y la vacuna rusa SPUTNIK 5. Los ecuatorianos ya pueden reservarla solamente con 1000 dólares.",1,despu s tant mes sufrimient octubr primer vacun coronavirus cov vent ecuador grup emprendedor ecuatorian pondr n alcanc ecuatorian vacun desarroll univers oxford vacun chin vacun rus sputnik ecuatorian pued reserv sol d lar
6,2020-08-18,Año 2050: Los nietos de Abdala Bucaram roban otra vez a los ecuatorianos,"Abdalá Abdul Bucaram III, nieto del expresidente de Ecuador Abdala Bucaram y engendro de Jacobo Bucaram, tendrá custodia policial permanente mientras es investigado por desfalcar las arcas del estado.  Al amanecer de este 13 de agosto del 2050, una jueza de Quito lo procesó por el delito de presunta delincuencia organizada, en un expediente para investigar su relación con los las anomalías financieras encontradas en el Ministerio de Transporte. Según la Fiscalía, Bucaram manejaría una gran mafia que cobra coimas del 30% por cada obra pública realizada en el país.",1,abdal abdul bucaram iii niet expresident ecuador abdal bucaram engendr jacob bucaram tendr custodi policial permanent mientr investig desfalc arcas amanec agost juez quit proc delit presunt delincuent organiz expedient investig relaci n anomal as financ encontr ministeri transport seg n fiscal bucaram manej gran mafi cobr coim cad obra p blic realiz pa s
7,2020-06-04,Abdala recibirá millonaria indemnización por haberlo arrestado,"Un juez penal de Guayaquil ordenó la libertad para el expresidente Abdalá Bucaram después de ser arrestado por corrupción. La noticia se conoció la noche de este miércoles, 3 de junio de 2020, tras la audiencia de flagrancia que se realizó por el presunto delito de tráfico de armas y municiones.  La Fiscalía presentó como evidencia del delito un arma de fuego que fue incautada en la casa del exjefe de Estado, pero minutos mas tarde la Fiscal Diana Salazar se arrodilló y le pidió disculpas a Bucaram.",1,juez penal guayaquil orden libert expresident abdal bucaram despu s ser arrest corrupci n notici conoci noch rcol juni tras audienci flagranci realiz presunt delit tr fic armas municion fiscal present evident delit arma fueg incaut cas exjef minut mas tard fiscal dian salaz arrodill pidi disculp bucaram
8,2020-04-28,Zoquete que no respetó la cuarentena culpa a Romo por poner fin a la cuarentena,"La ministra de Gobierno, María Paula Romo, explicó mediante rueda de prensa las medidas anunciadas para la aplicación de medidas de distanciamiento social ante la emergencia sanitaria debido al coronavirus para que los ecuatorianos puedan volver a trabajar el 4 de Mayo. Por su parte, Luis Lopez un joven ecuatoriano que nunca respetó las medidas de confinamiento y cuarentena, criticó a la ministra y la culpó por eliminar la cuarentena.",1,ministr gobiern mar paul rom explic mediant rued prens med anunci aplicaci n med distanci social emergent sanitari deb coronavirus ecuatorian pued volv trabaj may part luis lopez jov ecuatorian nunc respet med confin cuarenten critic ministr culp elimin cuarenten
9,2020-04-09,Maria Paula Romo estelirizará a todo SHUNSHO que no cumpla el toque de queda,"En un comunicado el Ministerio del Interior afirmó que arrancará una campaña de esterilización gratuita para todo costeño o serrano que no respete el toque de queda. La iniciativa está a cargo de la ministra Maria Paula Romo junto con las alcaldías de cada ciudad. “Aquí la cosa es sencilla señores, o respetan la ley o serán esterelizados para que no se reproduzcan”, afirmó Romo con cuchillo en mano.",1,comunic ministeri interior afirm arranc camp esterilizaci n gratuit cost serran respet toqu qued inici est carg ministr mari paul rom junt alcald as cad ciud aqu cos sencill ores respet ley ser n estereliz reproduzc afirm rom cuchill man
