fecha,titulo,is_fake,descripcion,sector
2021-01-29,Lasso: “Les agrandaré la riata 10 cm a todos los ecuatorianos “,1,"En redes sociales se viralizó el extracto de una entrevista al candidato presidencial Guillermo Lasso (CREO-PSC) por La Posta realizada el 27 de marzo de 2020. En el video de 0:29 segundos, cuya integridad ha sido discutida, el político dice que para poder enfrentar la emergencia sanitaria es necesaria una ley que flexibilice la contratación laboral. Lasso habla de un salario de $120 al mes para que “al menos puedan vivir con un trabajo estable, firme”. El video ha sido publicado por diferentes cuentas en Twitter y Facebook, así como en páginas de web que titulan “Lasso propone un salario de $120 con su ley de oportunidades”.",
2021-01-29,Los perros del Ministro de Salud se encuentra a salvo,1,"En un video de seis minutos y 25 segundos, el titular de Salud Pública, Juan Carlos Zevallos, dijo que el país puede estar tranquilo, porque su seres queridos ya están vacunados contra el COVID-19, incluidos sus dos perros. El ministro justificó su decisión de vacunar a sus perros porque el COVID-19 también se transmite en los animales.",
2021-01-10,Isidro Romero le metió una patada a un niño que no lo saludó,1,"APS. Noticias.- El candidato presidencial por el movimiento AVANZA, Isidro Romero, al salir del primer debate presidencial, le metió un puntapié violento a un niño de 9 años que estaba vendiendo chicles a la salida del debate. Cuando Isidro Romero salía del debate presidencial y se dirigía a su automovil con sus guarda espaldas, un niño de la calle se acercó con una vela y le dijo “¡Compre chicles vea!”, el candidato presidencial lo miró y le metió una patada al niño.",
2020-11-16,Colombiana prepago afirma que “los ecuatorianos lo tienen chiquito”,1,"Esta hermosa dama se dio el lujo de insultar al pais que le da de comer. Esta colombiana escribió en sus redes sociales que los ecuatorianos lo tienen chiquito, y son feos; obviamente al recibir unos cuantos mensajes de cariño, borró el mensaje. Pero el tío mercioco encontró su teléfono y resulta que… ha sido prepago! ¿Quieres mandarle un mensajito? 09 98 15 44 03. Porque con el tamaño nuestras anacondas y con la selección no se juega.",
2020-08-30,Uber eats premia a Maria Paula Romo por ser la mejor repartidora del año,1,"EM. Prensa Satírica.- La cadena mundial de repartición de comida a domicilio Uber Eats entregó este sábado el premio a la mejor repartidora del año a la Ministra María Paula Romo. La cadena Uber Eats premia cada año a los mejores repartidores y este año el palmarés se lo lleva el Ecuador.  Según el gerente de Uber Eats, Romo ha demostrado un gran performance en el reparto y al tratarse de hospitales está en otro nivel.",ecuador
2020-08-20,Ecuatorianos ya pueden reservar su vacuna por 1000 usd,1,"EM. Noticias.-  Después de tantos meses de sufrimiento en octubre 2020 la primera vacuna contra el coronavirus COVID-19 ya estará a la venta en el Ecuador. UN grupo de emprendedores ecuatorianos pondrán al alcance de los ecuatorianos la vacuna desarrollada por la Universidad de Oxford, la vacuna China y la vacuna rusa SPUTNIK 5. Los ecuatorianos ya pueden reservarla solamente con 1000 dólares.",ecuador
2020-08-18,Año 2050: Los nietos de Abdala Bucaram roban otra vez a los ecuatorianos,1,"Prensa Sátirica.- Abdalá Abdul Bucaram III, nieto del expresidente de Ecuador Abdala Bucaram y engendro de Jacobo Bucaram, tendrá custodia policial permanente mientras es investigado por desfalcar las arcas del estado.  Al amanecer de este 13 de agosto del 2050, una jueza de Quito lo procesó por el delito de presunta delincuencia organizada, en un expediente para investigar su relación con los las anomalías financieras encontradas en el Ministerio de Transporte. Según la Fiscalía, Bucaram manejaría una gran mafia que cobra coimas del 30% por cada obra pública realizada en el país.",ecuador
2020-06-04,Abdala recibirá millonaria indemnización por haberlo arrestado,1,"EM. Noticias.- Un juez penal de Guayaquil ordenó la libertad para el expresidente Abdalá Bucaram después de ser arrestado por corrupción. La noticia se conoció la noche de este miércoles, 3 de junio de 2020, tras la audiencia de flagrancia que se realizó por el presunto delito de tráfico de armas y municiones.  La Fiscalía presentó como evidencia del delito un arma de fuego que fue incautada en la casa del exjefe de Estado, pero minutos mas tarde la Fiscal Diana Salazar se arrodilló y le pidió disculpas a Bucaram.",guayaquil
2020-04-28,Zoquete que no respetó la cuarentena culpa a Romo por poner fin a la cuarentena,1,"EPS. Noticias.- La ministra de Gobierno, María Paula Romo, explicó mediante rueda de prensa las medidas anunciadas para la aplicación de medidas de distanciamiento social ante la emergencia sanitaria debido al coronavirus para que los ecuatorianos puedan volver a trabajar el 4 de Mayo. Por su parte, Luis Lopez un joven ecuatoriano que nunca respetó las medidas de confinamiento y cuarentena, criticó a la ministra y la culpó por eliminar la cuarentena.",
2020-04-09,Maria Paula Romo estelirizará a todo SHUNSHO que no cumpla el toque de queda,1,"EM. Noticias.- En un comunicado el Ministerio del Interior afirmó que arrancará una campaña de esterilización gratuita para todo costeño o serrano que no respete el toque de queda. La iniciativa está a cargo de la ministra Maria Paula Romo junto con las alcaldías de cada ciudad. “Aquí la cosa es sencilla señores, o respetan la ley o serán esterelizados para que no se reproduzcan”, afirmó Romo con cuchillo en mano.",
2020-04-05,Municipio de Guayaquil donará mil ambulancias de cartón para los barrios populares,1,"EM. Noticias.- Como un aporte solidario para con las familias que tienen a un ser querido enfermo durante la pandemia generada por el COVID-19, el Municipio de Guayaquil con el aporte de la empresa privada y la Asociación de Cartoneros, ha coordinado la entrega de dos mil ambulancias de cartón corrugado para atender a los enfermos. Las ambulancias de cartón llevarán a los muertos a sus ataúdes de cartón y serán distribuidos en los cementerios dibujados en cartón y de ser necesario, se entregará también al personal de Criminalística de la Policía Nacional.",guayaquil
2020-04-03,Maria Paula Romo: “Los Correístas se están muriendo a propósito para desprestigiarnos”,1,"EM. Noticias.- La ministra de Gobierno, María Paula Romo, anunció que si habrá toque de queda total en la provincia de Guayas este fin de semana. A través de su cuenta en la red social Twitter Romo indicó que no hay que entrar en el pánico, y afirmó que las muertes en Guayaquil son planificadas por Rafael Correa desde Bélgica.",guayas
2020-03-21,Cynthia Viteri se cura milagrosamente del Coronavirus,1,"EPS. Noticias.- La alcaldesa de Guayaquil, Cynthia Viteri, informó a las 10:30 de este sábado 21 de marzo del 2020, a través de redes sociales, que ha sido milagrosamente curada del coronavirus covid-19.  Viteri explicó que su milagrosa cura fue gracias a un cebiche de balde que se comió en la calle.",
2020-03-21,La Unión Europea prohibe la entrada a guayaquileños por 10 años,1,"APS. Noticias. Guayaquil, Ecuador.- La Unión Europea emitió sanciones en contra de los guayaquileños por el bloqueo de la pista de aterrizaje del Aeropuerto José Joaquin de Olmedo de Guayaquil para impedir el aterrizaje de un avión procedente de España.  Bajo un comunicado, la Unión Europea no dejará entrar a su territorio a ningún ciudadano guayaquileño durante 10 años, y los descendientes de Cynthia Viteri, no podrán entrar a Europa por dos generaciones.",guayaquil
2020-02-17,Erika Vélez afirma que Vargas la llamó a decirle que él es su ‘segundo marido’,1,"APS. Noticias.- La actriz Erika Vélez anunció que el presidente de la CONAIE Jaime Vargas la contactó por teléfono. Érika Vélez quien fue elegida para ser la presentadora del programas Master Chef Ecuador reality show de gastronomía, afirmó que un tal “Jaime Vargas” le llamó para comunicarle que él es su segundo marido.",
2020-02-17,Jaime Vargas se auto proclama “Dios Hijo”,1,"APS Noticias.- Desde el Parque Calderón en la ciudad de Cuenca, el líder indígena Jaime Vargas se refirió, este 17 de febrero, al viaje que realizó hace unos días a Guatemala, donde participó en actividades con representantes de pueblos indígenas de otros países.  En rueda de prensa, el presidente de la Confederación de Nacionalidades Indígenas del Ecuador (Conaie) dijo que el presidente de Guatemala, Alejandro Giammattei, debió respetarlo porque él es presidente de la CONAIE y Dios Hijo.",parque calderón
2020-02-13,Moreno le habría robado más de 10 millones de átomos a Donald Trump,1,"APS. Noticias.-  Según fuentes oficiales, el presidente Lenín Moreno habría solicitado al registro civil que se le cambie la denominación de mestizo a blanco en las bases de datos ecuatorianas. Según Moreno, sus átomos ya no son 100% ecuatorianos porque respiró durante 15 minutos los átomos de Donald Trump durante su visita a Washington.",washington
2020-02-01,Moreno:”Las mujeres no denuncian el acoso sexual cuando ven una vergota”,1,"APS. Noticias.- El presidente de Ecuador, Lenín Moreno, expuso este viernes su interpretación del acoso sexual y dijo que “las mujeres no denuncian ningun acoso cuando el hombre es tiene una vergota, porque cuando ven ‘tremendo paquete’ no piensan en que sea un abuso”. “Los hombres estamos sometidos permanentemente al peligro de que nos acusen de acoso, menos aquellos que tienen 3 piernas, a ellos nunca les acusan”, dijo el presidente durante un acto público en Guayaquil con inversionistas y financieros a los que exponía su política de expansión económica.",guayaquil
2019-10-31,"Según Ivan Granda, Maria Paula Romo tendría el mustacho de Hitler abajo del ombligo",1,"APS. Noticias.- Después de que la CIDH investigara los asesinatos cometidos por el gobierno de Lenin Moreno durante las protestas, Ivan Granda -amante de la ministra del interior- confesó la perturbadora noticia. Según Granda, el detalle del mustacho de Hitler no le quedó desapercibido cada vez que se pegaba un “cebichito de concha”.",
2019-10-31,Diana Salazar es la flamante “Mama Negra 2019”,1,"APS. Noticias.– La Mama Negra es una fiesta popular que se realiza todos los años en la ciudad de Latacunga, localidad ubicada a menos de dos horas de Quito. Esta celebración fue declarada como Patrimonio Cultural Intangible en octubre de 2005 y convoca cada año a miles de turistas nacionales y extranjeros. Las autoridades informaron que la fiscal General del Estado, Diana Salazar ha sido elegida como la Mama Negra 2019.",quito
