,fecha,titulo,link,descripcion
0,2021-01-29,Lasso: “Les agrandaré la riata 10 cm a todos los ecuatorianos “,http://elmercioco.com/lasso-les-agrandare-la-riata-10-cm-a-todos-los-ecuatorianos/,"En redes sociales se viralizó el extracto de una entrevista al candidato presidencial Guillermo Lasso (CREO-PSC) por La Posta realizada el 27 de marzo de 2020. En el video de 0:29 segundos, cuya integridad ha sido discutida, el político dice que para poder enfrentar la emergencia sanitaria es necesaria una ley que flexibilice la contratación laboral. Lasso habla de un salario de $120 al mes para que “al menos puedan vivir con un trabajo estable, firme”. El video ha sido publicado por diferentes cuentas en Twitter y Facebook, así como en páginas de web que titulan “Lasso propone un salario de $120 con su ley de oportunidades”."
1,2021-01-29,Los perros del Ministro de Salud se encuentra a salvo,http://elmercioco.com/los-perros-del-ministro-de-salud-se-encuentra-a-salvo/,"En un video de seis minutos y 25 segundos, el titular de Salud Pública, Juan Carlos Zevallos, dijo que el país puede estar tranquilo, porque su seres queridos ya están vacunados contra el COVID-19, incluidos sus dos perros. El ministro justificó su decisión de vacunar a sus perros porque el COVID-19 también se transmite en los animales."
2,2021-01-10,Isidro Romero le metió una patada a un niño que no lo saludó,http://elmercioco.com/isidro-romero-le-metio-una-patada-a-un-nino-que-no-lo-saludo/,"APS. Noticias.- El candidato presidencial por el movimiento AVANZA, Isidro Romero, al salir del primer debate presidencial, le metió un puntapié violento a un niño de 9 años que estaba vendiendo chicles a la salida del debate. Cuando Isidro Romero salía del debate presidencial y se dirigía a su automovil con sus guarda espaldas, un niño de la calle se acercó con una vela y le dijo “¡Compre chicles vea!”, el candidato presidencial lo miró y le metió una patada al niño."
3,2020-11-16,Colombiana prepago afirma que “los ecuatorianos lo tienen chiquito”,http://elmercioco.com/colombiana-prepago-afirma-que-los-ecuatorianos-lo-tienen-chiquito/,"Esta hermosa dama se dio el lujo de insultar al pais que le da de comer. Esta colombiana escribió en sus redes sociales que los ecuatorianos lo tienen chiquito, y son feos; obviamente al recibir unos cuantos mensajes de cariño, borró el mensaje. Pero el tío mercioco encontró su teléfono y resulta que… ha sido prepago! ¿Quieres mandarle un mensajito? 09 98 15 44 03. Porque con el tamaño nuestras anacondas y con la selección no se juega."
4,2020-08-30,Uber eats premia a Maria Paula Romo por ser la mejor repartidora del año,http://elmercioco.com/uber-eats-premia-a-maria-paula-romo-por-ser-la-mejor-repartidora-del-ano/,"EM. Prensa Satírica.- La cadena mundial de repartición de comida a domicilio Uber Eats entregó este sábado el premio a la mejor repartidora del año a la Ministra María Paula Romo. La cadena Uber Eats premia cada año a los mejores repartidores y este año el palmarés se lo lleva el Ecuador.  Según el gerente de Uber Eats, Romo ha demostrado un gran performance en el reparto y al tratarse de hospitales está en otro nivel."
5,2020-08-20,Ecuatorianos ya pueden reservar su vacuna por 1000 usd,http://elmercioco.com/ecuatorianos-ya-pueden-reservar-su-vacuna-por-1000-usd/,"EM. Noticias.-  Después de tantos meses de sufrimiento en octubre 2020 la primera vacuna contra el coronavirus COVID-19 ya estará a la venta en el Ecuador. UN grupo de emprendedores ecuatorianos pondrán al alcance de los ecuatorianos la vacuna desarrollada por la Universidad de Oxford, la vacuna China y la vacuna rusa SPUTNIK 5. Los ecuatorianos ya pueden reservarla solamente con 1000 dólares."
6,2020-08-18,Año 2050: Los nietos de Abdala Bucaram roban otra vez a los ecuatorianos,http://elmercioco.com/ano-2050-los-nietos-de-abdala-bucaram-roban-otra-vez-a-los-ecuatorianos/,"Prensa Sátirica.- Abdalá Abdul Bucaram III, nieto del expresidente de Ecuador Abdala Bucaram y engendro de Jacobo Bucaram, tendrá custodia policial permanente mientras es investigado por desfalcar las arcas del estado.  Al amanecer de este 13 de agosto del 2050, una jueza de Quito lo procesó por el delito de presunta delincuencia organizada, en un expediente para investigar su relación con los las anomalías financieras encontradas en el Ministerio de Transporte. Según la Fiscalía, Bucaram manejaría una gran mafia que cobra coimas del 30% por cada obra pública realizada en el país."
7,2020-06-04,Abdala recibirá millonaria indemnización por haberlo arrestado,http://elmercioco.com/abdala-recibira-millonaria-indemnizacion-por-haberlo-arrestado/,"EM. Noticias.- Un juez penal de Guayaquil ordenó la libertad para el expresidente Abdalá Bucaram después de ser arrestado por corrupción. La noticia se conoció la noche de este miércoles, 3 de junio de 2020, tras la audiencia de flagrancia que se realizó por el presunto delito de tráfico de armas y municiones.  La Fiscalía presentó como evidencia del delito un arma de fuego que fue incautada en la casa del exjefe de Estado, pero minutos mas tarde la Fiscal Diana Salazar se arrodilló y le pidió disculpas a Bucaram."
8,2020-04-28,Zoquete que no respetó la cuarentena culpa a Romo por poner fin a la cuarentena,http://elmercioco.com/zoquete-que-no-respeto-la-cuarentena-culpa-a-romo-por-poner-fin-a-la-cuarentena/,"EPS. Noticias.- La ministra de Gobierno, María Paula Romo, explicó mediante rueda de prensa las medidas anunciadas para la aplicación de medidas de distanciamiento social ante la emergencia sanitaria debido al coronavirus para que los ecuatorianos puedan volver a trabajar el 4 de Mayo. Por su parte, Luis Lopez un joven ecuatoriano que nunca respetó las medidas de confinamiento y cuarentena, criticó a la ministra y la culpó por eliminar la cuarentena."
9,2020-04-09,Maria Paula Romo estelirizará a todo SHUNSHO que no cumpla el toque de queda,http://elmercioco.com/maria-paula-romo-estelirizara-a-todo-longazo-que-no-cumpla-el-toque-de-queda/,"EM. Noticias.- En un comunicado el Ministerio del Interior afirmó que arrancará una campaña de esterilización gratuita para todo costeño o serrano que no respete el toque de queda. La iniciativa está a cargo de la ministra Maria Paula Romo junto con las alcaldías de cada ciudad. “Aquí la cosa es sencilla señores, o respetan la ley o serán esterelizados para que no se reproduzcan”, afirmó Romo con cuchillo en mano."
