,titulo,link
0,Detienen a hombre que asaltó a periodista en vivo,/noticias/judicial/12/periodista-detencion-ladron-barcelona
1,En Machala roban a plena luz del día,/noticias/actualidad/44/en-machala-roban-a-plena-luz-del-dia
2,Un nuevo atraco en Quito quedó registrado en video,/noticias/actualidad/44/nuevo-asalto-robo-quito-registrado-video
3,Adolescente habría integrado una banda de asaltantes en Cuenca,/noticias/judicial/12/adolescente-habria-integrado-banda-asaltantes-cuenca
4,Fiscalía reporta el robo de fondos solidarios en el MIES,/noticias/sociedad/6/fiscalia-reporta-el-robo-de-fondos-solidarios-en-el-mies
5,Procesan a 12 personas de una banda delictiva que operaba en los mercados de Ambato,/noticias/judicial/12/fiscalia-procesa-presunta-banda-delincuencial-operaba-mercados-ambato
6,Casa de Paolo Rossi fue saqueada durante su funeral,/noticias/futbol-internacional/7/paolo-rossi-delincuencia-italia
7,La pareja del terror trató de fugar hacia Colombia a través de un paso clandestino,/noticias/judicial/12/ministro-gobierno-confirmo-captura-pareja-asaltantes-pizzeria
8,Pareja detenida por robo quedó en libertad al pagar $ 500,/noticias/judicial/12/prision-preventiva-pareja-que-asalto-puesto-comida
9,Policía recaptura a hombre que se fugó de la cárcel de Manabí hace cinco años,/noticias/judicial/12/policia-recaptura-carcel-manabi-profugo
10,Cuatro procesados son llamados a juicio por el asesinato de dirigente político,/noticias/justicia/12/cuatro-procesados-llamados-juicio-asesinato-dirigente-politico
11,Se abre audiencia para ocho implicados en el asesinato de Efraín Ruales,/noticias/justicia/12/audiencia-ocho-implicados-asesinato-efrainruales
12,Tres presuntos delincuentes fueron aprehendidos por robo de celular en el centro de Quito,/noticias/judicial/12/tres-presuntos-delincuentes-fueron-aprehendidos-por-robo-de-celular-en-el-centro-de-quito
13,Daniel Salcedo recibió una tercera condena de tres años,/noticias/justicia/12/danielsalcedo-recibio-tercera-condena-tres-anos-prision
14,Seis PPL fallecieron por amotinamiento en cárcel de Quevedo,/noticias/judicial/12/quevedo-registra-nuevo-amotinamiento
15,Desmantelada una banda una banda que robaba y vendía droga,/noticias/judicial/12/desmantelada-una-banda-una-banda-que-robaba-y-vendia-droga
16,Detenidos dos asaltantes que trataron de asesinar a un policía en Guayaquil,/noticias/judicial/12/detenidos-asaltantes-asesinar-policia-guayaquil
17,Robaba automóviles y luego extorsionaba a las víctimas para devolverles lo sustraído,/noticias/judicial/12/robaba-automoviles-extorsionaba-victimas-sustraido
18,Banda de hackers robaba dinero de cuentas bancarias en Quito,/noticias/judicial/12/banda-hackers-dinero-cuentas-bancarias-quito
19,Robo de computadoras en edificio de la Contraloría del Estado,/noticias/judicial/12/robo-computadoras-contraloria-estado
20,Con inhibidores de señal evitaban que camioneros asaltados pidan ayuda,/noticias/judicial/12/implicados-robos-asesinatos-camioneros-detenidos
21,Chofer de bus se desvió a escuela militar para evitar robo,/noticias/judicial/12/chofer-de-bus-se-desvio-a-escuela-militar-para-evitar-robo
22,Dos detenidos por extorsionar a mujer tras robo de moto,/noticias/judicial/12/detenidos-extorsion-mujer-robo-moto
23,Hombre falleció de un balazo en la cabeza por impedir un robo a su pareja,/noticias/judicial/12/robo-pareja
24,PPL de altísima peligrosidad fueron cambiados de centro de rehabilitación,/noticias/judicial/12/ppl-altisima-peligrosidad-centro-rehabilitacion
30,Dos extranjeros robaron joyas en centro comercial de Quito,/noticias/judicial/12/dos-extranjeros-joyas
31,El robo de pertenencias a Augusto Itúrburu sigue sin resolverse,/noticias/judicial/12/robo-pertenencias-augusto-iturburu
32,"Luchadores de UFC se solidarizan por ""robo"" a 'Chito' Vera",/noticias/otros-deportes/7/ufc-chito-vera-comentarios-yandong
33,Privados de libertad investigados por robo en bodega de productos de Regional Guayas,/noticias/judicial/12/privados-libertad-robo-bodega-productos-regional-guayas
34,Un adulto y un menor robaban bienes en una escuela de Ambato,/noticias/judicial/12/robo-escuela-ambato
35,27 sectores de Guayaquil afectados por robo de cables telefónico,/noticias/guayaquil/2/guayaquil-robo-cables-cnt
36,Gabarra con camarón fue saqueada dos veces en Guayaquil,/noticias/judicial/12/gabarra-con-camaron-fue-saqueada-dos-veces-en-guayaquil
37,Ecuatorianos denuncian robo de equipaje en vuelo humanitario,/noticias/judicial/12/robo-vuelo-humanitario
38,Coronarivus: Ladrones roban miles de mascarillas en Alemania,/noticias/mundo/8/coronarivus-ladrones-mascarillas-alemania
45,Roban más de $15 millones de un camión blindado en Chile,/noticias/mundo/8/robo-millones-camion-blindado-chile
46,"Detienen a ""La Chilena"", mujer que vació casa donde le dieron posada",/noticias/judicial/12/detenida-chilena-robo-casa-posada
47,"Siete procesados en Bolívar se robaron celulares, un vehículo y hasta un perro",/noticias/judicial/12/procesados-bolivar-robo-perro
48,Perú recuperó manuscrito inca escrito por un descendiente de Huayna Capac,/noticias/cultura/10/peru-recupero-manuscrito-inca-escrito-por-un-descendiente-de-huayna-capac
49,Delincuentes incendian cajero en centro de revisión vehicular de Capulispamba,/noticias/regional-sur/2/incendio-cajero-centro-revision-vehicular-capulispamba
50,"Por agujero, delincuentes entran a robar en entidad financiera",/noticias/judicial/12/agujero-robo-entidad-financiera
51,Retenidos cuatro sospechosos de robo en la Ecovía,/noticias/quito/2/sospechosos-robo-ecovia
52,Motorizado fue herido de bala durante robo en Guayaquil,/noticias/judicial/12/bala-robo-guayaquil
53,Ilegales pide ayuda para recuperar sus instrumentos en España,/noticias/carton-rock/1/ilegales-robo-instrumentos-espana
54,Roban datos bancarios de unos 29.000 empleados de Facebook,/noticias/mundo/8/roban-datos-bancarios-empleados-facebook
61,Adulta mayor murió en un robo en su casa en Guayaquil,/noticias/judicial/12/adulta-mayor-robo-guayaquil
62,Consumo de droga y robo de cajetines,/noticias/cartas-al-director/1/consumo-droga-robo-cajetines
63,Roban equipos tecnológicos de la final de la Libertadores,/noticias/futbol-internacional/7/roban-equipos-tecnologicos-libertadores
64,Una fuente radioactiva fue sustraída en el sur de Quito,/noticias/judicial/12/fuente-radioactiva-sustraida-quito
65,Tres procesados por robo y daños en la Contraloría,/noticias/judicial/12/procesados-robo-danos-contraloria
66,"Cabecilla de banda dedicada al secuestro, extorsión y asalto registra 17 detenciones",/noticias/judicial/12/cabecilla-banda-secuestro-extorsion-asalto-detenciones
67,"Información vulnerada de datos es responsabilidad del Estado, dice experto en seguridad",/noticias/tecnologia/6/informacion-vulnerada-datos-responsabilidad-estado-seguridad
68,"Policía desarticula 18 bandas delictivas, entre el jueves y el domingo",/noticias/judicial/12/policia-bandas-delictivas-detenidos
69,Tres estudiantes procesados por robo al no devolver dinero que hallaron en la calle,/noticias/judicial/12/estudiantes-robo-dinero-calle
70,Directora del Archivo Histórico confirmó la desaparición del Testamento de Eugenio Espejo,/noticias/cultura/10/desaparicion-testamento-eugenio-espejo
77,Partes robadas de carros se venden en tres sectores,/noticias/judicial/12/piezas-robadas-carros-ayacucho-cachineria
78,Policía frustra asalto a entidad bancaria en Naranjal,/noticias/judicial/12/amenaza-bomba-naranjal
79,La jueza que dejó libre a 8 procesados en caso Sinaí es separada de área penal,/noticias/judicial/12/jueza-procesados-caso-sinai-area-penal
80,Delincuentes disparan tras robar en panadería de Urdesa,/noticias/judicial/12/delincuentes-robo-panaderia-urdesa
81,Implicado en robo aseguró que Vanessa era cómplice,/noticias/judicial/12/robo-olga-vanessa-complicidad
82,Hacker roba datos de 106 millones de clientes del banco Capital One,/noticias/mundo/8/hacker-robo-datos-106-millones-clientes-banco-capital-one
83,Asaltante amenazó a cajera con foto de su casa y se llevó $6.000,/noticias/judicial/12/asaltante-amenazo-foto-casa-cajera-6000
84,"Kenig, investigado por robo de carros en Argentina, habla de difamación",/noticias/judicial/12/alejandrokenig-investigacion-robo-carros-argentina
85,Comerciantes de la plaza San Francisco son víctimas de robos,/noticias/regional-sur/2/comerciantes-plazasanfrancisco-victimas-robos
86,Policía desarticula banda dedicada al asalto y robo de automotores,/noticias/judicial/12/policia-desarticula-banda-robo-automotores
93,Detenido dijo que se llevó bicicleta de vigilante por confusión,/noticias/judicial/12/robo-bicicleta-vigilante-atm
94,Por un celular condenan a un hombre a 18 meses de cárcel en Ambato,/noticias/judicial/12/condena-hombre-ambato-robo-celular
95,Guardia fallece por herida de bala en robo de una camaronera,/noticias/judicial/12/guardia-fallece-robo-camaronera
96,Pertenencias de Salvador Allende fueron robadas en Chile,/noticias/mundo/8/pertenencias-allende-robo-chile
97,Parque inclusivo de Riobamba fue objeto de vandalismo y robo,/noticias/regional-centro/2/parqueinclusivo-riobamba-vandalismo-robo
98,En 77 días roban 86.165 celulares a nivel nacional,/noticias/judicial/12/celulares-robo-hurto-policia-fiscalia
99,Cuatro personas fueron detenidas por robar en locales de centro comercial,/noticias/judicial/12/cuatro-detenidos-robo-centro-comercial
100,Detenidos en España dos ancianos que atracaban bancos,/noticias/mundo/8/detenidos-espana-ancianos-asaltos-bancos
101,Hombre asesina de un tiro a vecino por supuesto robo de ropa interior,/noticias/judicial/12/asesinato-vecino-robo-ropainterior
102,Policía detiene a cuatro personas por robo en consulado de Venezuela,/noticias/judicial/12/policia-robo-consulado-venezuela
109,Asaltan en consulado de Venezuela de Guayaquil,/noticias/judicial/12/personas-armadas-consulado-venezuela-guayaquil
110,Operativos dejan varios detenidos por robo y extorsión,/noticias/judicial/12/operativos-detenidos-robo-extorsion
111,Delincuentes roban dinero de cajero automático recién habilitado,/noticias/judicial/12/delincuentes-cajeroautomatico-robo
112,2.408 denuncias de robo se receptan durante 2019,/noticias/judicial/12/denuncias-robo-policia-judicial-ecuador
113,Detenidos 16 vinculados a robo de entidad bancaria en Manta,/noticias/judicial/12/manta-detenidos-robo-entidadbancaria
114,Las FF.AA. detectan tubería para robar combustible estatal,/noticias/judicial/12/militares-tuberia-combustible
115,Reina de Quito denunció el robo de su celular,/noticias/judicial/12/reina-quito-robo-celular
116,Un millón de dólares sería el monto sustraído a entidad bancaria en Manta,/noticias/judicial/12/millon-dolares-robo-entidadbancaria-manta
