,fecha,titulo,descripcion
0,"agosto 26, 2021",Un joven arrestado en Guayaquil porque 'tapiñaba' equipos de la CNT,La Policía Nacional indicó que el sospechoso deberá responder por el robo de un bien público
1,"agosto 25, 2021",Pillos que se enfrentaron con policías en Durán tendrían una estela de delitos,Los uniformados seguían los pasos de dos hombres y una mujer que al parecer son los mismos que cometieron otros atracos en Guayaquil
2,"agosto 25, 2021",Propietario de Aguilar y su Orquesta fue víctima de asalto: ¡Se le llevaron 4 'lucas'!,"El propietario y fundador de la agrupación había retirado 4.000 dólares de una entidad bancaria, cuando fue interceptado por los 'pillos'..."
3,"agosto 24, 2021",El robo de cables y transformadores afectó a sectores de Santo Domingo y La Concordia,"En uno de los sectores los ladrones se sustrajeron cables que se encontraban en el soterramiento, dejando a oscuras a la gente"
4,"agosto 23, 2021",¡Monja los puso contra la pared luego de que intentaran extorsionarla!,"Se hacían pasar por policías y llamaban a sus víctimas y les pedían billete. A la religiosa intentaron jugarle sucio, pero allí hubo ¿justicia divina?"
5,"agosto 23, 2021","En Durán, detienen al sospechoso del 'choreo' a un taxista",El detenido estaba armado con un revólver. El robo se habría cometido la noche del domingo
6,"agosto 23, 2021",Tres hombres se 'paseaban' con una subametralladora en un bus de Guayaquil,Los detenidos habrían participado en un robo. Además llevaba candados plásticos y 11 cartuchos sin percutir.
7,"agosto 19, 2021",¡Persecución y plomo en el norte de Quito!,Los sujetos fueron pillados cuando robaban accesorios de carros. Un morador del sector denunció el hecho y comenzó la huida.
8,"agosto 19, 2021",Guayaquil: ¡'Veci' le dio un 'escobazo' a un pillo!,Implicado en un robo fue detenido por policías en el suroeste del Puerto Principal
9,"agosto 19, 2021",Acuchillado por delatar robo que harían a tendera,Crimen se suscitó en un barrio de Manta. Al ciudadano lo sorprendieron afuera del domicidio de un familiar
10,"agosto 17, 2021",En España arrestan a un joven que robó 250 muñequitos de ‘Star Wars’,Las piezas son de un coleccionista y estaban valoradas en cerca de 2.356 dólares
11,"agosto 15, 2021",Pillo desalmado asalta a pareja con un bebé en brazos,"El robo ocurrió en la ciudadela Santa Mónica, en el suroeste de Guayaquil. El implicado estaba con un compinche a bordo de una moto"
12,"agosto 15, 2021",Guayaquil: Aprovechó el tráfico para 'bajarse' un celular,"En la avenida Quito y Colón, un sujeto se acercó a un taxi para sustraerse el teléfono de un pasajero"
13,"agosto 15, 2021",Gabriel Baumann: ¡desnudo se siente libre!,El músico replicó un afiche de su infancia y se ‘robó’ el aplauso de sus seguidores.
14,"agosto 14, 2021",Salitre: Muerte y robo tras la ‘vacilada’,Agente de la Comisión de Tránsito fue asesinado al salir de una discoteca. La víctima había salido con unos amigos
15,"agosto 12, 2021",Con machete asaltaron a 'pelados' jugadores,Tres delincuentes llegaron hasta la cancha donde practicaba la categoría Sub 17 del club San Camilo y se llevaron sus pertenencias
16,"agosto 11, 2021",En Tumbaco robaron una gasolinera amenazando con un remedo de dinamita,Los ‘choros’ usaron palos de escoba y cables para simular que tenían un explosivo. Así amenazaron a una mujer para llevarse cerca de 20.000 dólares
17,"agosto 11, 2021",Se le atravesó la muerte,"Un joven cruzaba la calle corriendo, en Chilibulo, sur de Quito, cuando se chocó contra un bus. La víctima estaría implicada en un robo."
18,"agosto 11, 2021",Guayaquil: Le 'cayó' la ley a hombre que almacenaba armas presuntamente para cometer asesinatos,El detenido sería miembro de la organización criminal Los Choneros y registra procesos judiciales por robo
19,"agosto 10, 2021",Durán: Dos sujetos fueron vistos con la lavadora que supuestamente se 'bajaron',Una familia notificó al ECU-911 que les sustrajeron un electrodoméstico. Policías atraparon a los dos sospechosos
20,"agosto 08, 2021",¡‘Pepazos’ no paran en Esmeraldas!,"En un caso, un hombre fue asesinado mientras vendía detergente. En el otro, la ‘tortilla se viró’ y los baleados fueron los sospechosos de un robo."
21,"agosto 08, 2021",Ruso murió tras supuestamente perpetrar un robo,El hombre fue impactado por un carro y quedó malherido en vía riosense. Nadie lo quiso auxiliar al percatarse que llevaba escondida un arma de fuego
22,"agosto 07, 2021",Lo recapturó el populacho,"La gente de Patután, poblado cercano a la cárcel de Cotopaxi, se organizó para dar con un reo fugado. Su presidente dijo que el tipo robó un celular."
23,"agosto 05, 2021",Pena máxima para sacapintas que hace un año asesinaron en Quito a una joven y su tío,Los sentenciados pertenecían a una banda delictiva dedicada al robo en la modalidad de sacapintas. Dos de ellos son de nacionalidad colombiana
24,"agosto 05, 2021",Guardia fue asesinado por frustrar robo,"Le dieron bala por haber supuestamente impedido, hace un mes, un ataque delictivo en hacienda de Puebloviejo"
