,fecha,titulo,descripcion
0,20 de julio de 2021 09:31,Detienen a hombre que asaltó a periodista en vivo,Alias 'Tontín' le robó su celular a un periodista de DirecTV en las inmediaciones del estadio de Barcelona
1,04 de julio de 2021 14:32,En Machala roban a plena luz del día,Las cámaras de video de una empresa de recaudación captaron el momento del intento de robo
2,15 de junio de 2021 16:50,Un nuevo atraco en Quito quedó registrado en video,"El hecho ocurrió en un local de comidas, en donde ingresaron siete delincuentes "
3,12 de enero de 2021 09:40,Adolescente habría integrado una banda de asaltantes en Cuenca,La menor de edad se encuentra con medidas alternativas a la prisión preventiva. 
4,27 de diciembre de 2020 23:33,Fiscalía reporta el robo de fondos solidarios en el MIES,"El monto que cobraron alcanza los USD 9'860.000, delito registrado también en 2018. "
5,16 de diciembre de 2020 11:17,Procesan a 12 personas de una banda delictiva que operaba en los mercados de Ambato,Los individuos operaban de forma organizada y cumplían roles específicos para robar.
6,13 de diciembre de 2020 16:13,Casa de Paolo Rossi fue saqueada durante su funeral,El exfutbolista falleció en Italia por una enfermedad incurable
7,03 de diciembre de 2020 09:19,La pareja del terror trató de fugar hacia Colombia a través de un paso clandestino,La Policía informó que Israel Bairon P. S. tiene antecedentes por robo y hurto. 
8,30 de noviembre de 2020 09:11,Pareja detenida por robo quedó en libertad al pagar $ 500,Los ciudadanos fueron detenidos tras una alerta oportuna a través de la línea del 911.
9,23 de agosto de 2021 11:35,Policía recaptura a hombre que se fugó de la cárcel de Manabí hace cinco años,El prófugo escapó de un centro de reclusión de Manta durante el terremoto de abril de 2016.
10,20 de agosto de 2021 21:44,Cuatro procesados son llamados a juicio por el asesinato de dirigente político,La Fiscalía General del Estado presentó elementos de convicción en la Unidad Judicial Multicompetente de Los Ríos
11,19 de agosto de 2021 14:29,Se abre audiencia para ocho implicados en el asesinato de Efraín Ruales,La Fiscalía aún debe establecer quiénes fueron os autores materiales del crimen. 
12,18 de agosto de 2021 07:04,Tres presuntos delincuentes fueron aprehendidos por robo de celular en el centro de Quito,Policía Nacional se hizo cargo de los implicados. 
13,17 de agosto de 2021 16:56,Daniel Salcedo recibió una tercera condena de tres años,Salcedo se encuentra en la Cárcel 4 y recibió la pena por el delito de ingreso de artículos prohibidos
14,12 de agosto de 2021 15:07,Seis PPL fallecieron por amotinamiento en cárcel de Quevedo,"La Policía llegó a la cárcel para retomar el control, mientras los familiares de los PPL también se acercaron al lugar"
15,25 de noviembre de 2020 18:35,Desmantelada una banda una banda que robaba y vendía droga,"La organización se reunía y planificaba sus actos delictivos en la avenida Portete y la calle 17, en Guayaquil. Los vecinos del barrio los denunciaron por robo y venta de dogas. La Policía encontró municiones y celulares."
16,30 de septiembre de 2020 21:02,Detenidos dos asaltantes que trataron de asesinar a un policía en Guayaquil,Los hombres tenían en su poder armas. Uno de ellos tenía antecedentes por robo. Ahora serán procesados por tentativa de asesinato.
17,21 de septiembre de 2020 20:56,Robaba automóviles y luego extorsionaba a las víctimas para devolverles lo sustraído,"Al individuo se le incautaron un celular, una tarjeta SIM y 1.700 dólares, además se le dictaron medidas sustitutivas a la prisión preventiva.
"
18,11 de septiembre de 2020 17:49,Banda de hackers robaba dinero de cuentas bancarias en Quito,La Policía detuvo a los hackers que sustraían dinero a clientes del Banco del Pacífico.
19,03 de septiembre de 2020 18:36,Robo de computadoras en edificio de la Contraloría del Estado,"

Seis PPL fallecieron por amotinamiento en cárcel de Quevedo

La Policía llegó a la cárcel para retomar el control, mientras los familiares de los PPL también se..."
20,23 de julio de 2020 11:02,Con inhibidores de señal evitaban que camioneros asaltados pidan ayuda,"

Seis PPL fallecieron por amotinamiento en cárcel de Quevedo

La Policía llegó a la cárcel para retomar el control, mientras los familiares de los PPL también se..."
21,21 de julio de 2020 11:45,Chofer de bus se desvió a escuela militar para evitar robo,"

Seis PPL fallecieron por amotinamiento en cárcel de Quevedo

La Policía llegó a la cárcel para retomar el control, mientras los familiares de los PPL también se..."
22,14 de julio de 2020 10:53,Dos detenidos por extorsionar a mujer tras robo de moto,"

Seis PPL fallecieron por amotinamiento en cárcel de Quevedo

La Policía llegó a la cárcel para retomar el control, mientras los familiares de los PPL también se..."
23,08 de julio de 2020 17:50,Hombre falleció de un balazo en la cabeza por impedir un robo a su pareja,"

Seis PPL fallecieron por amotinamiento en cárcel de Quevedo

La Policía llegó a la cárcel para retomar el control, mientras los familiares de los PPL también se..."
24,24 de agosto de 2021 18:03,PPL de altísima peligrosidad fueron cambiados de centro de rehabilitación,El SNAI coordinó las acciones para este movimiento desde Latacunga.
25,01 de julio de 2020 10:57,Dos extranjeros robaron joyas en centro comercial de Quito,"

Seis PPL fallecieron por amotinamiento en cárcel de Quevedo

La Policía llegó a la cárcel para retomar el control, mientras los familiares de los PPL también se..."
26,01 de julio de 2020 00:00,El robo de pertenencias a Augusto Itúrburu sigue sin resolverse,"

Seis PPL fallecieron por amotinamiento en cárcel de Quevedo

La Policía llegó a la cárcel para retomar el control, mientras los familiares de los PPL también se..."
27,17 de mayo de 2020 17:26,"Luchadores de UFC se solidarizan por ""robo"" a 'Chito' Vera","

Barcelona acumula tres derrotas seguidas

¿Qué pasa con el campeón nacional en la LigaPro?"
28,07 de mayo de 2020 10:10,Privados de libertad investigados por robo en bodega de productos de Regional Guayas,"

Seis PPL fallecieron por amotinamiento en cárcel de Quevedo

La Policía llegó a la cárcel para retomar el control, mientras los familiares de los PPL también se..."
29,24 de abril de 2020 11:16,Un adulto y un menor robaban bienes en una escuela de Ambato,"

Seis PPL fallecieron por amotinamiento en cárcel de Quevedo

La Policía llegó a la cárcel para retomar el control, mientras los familiares de los PPL también se..."
30,15 de abril de 2020 15:08,27 sectores de Guayaquil afectados por robo de cables telefónico,"Los robos de cables telefónicos se registraron en 27 sectores de Guayaquil, desde el 9 de marzo hasta el 7 de abril. Esta situación afectó a 9.500 familias abonadas al servicio, que es necesario durante la emergencia sanitaria por el covid-19."
31,14 de abril de 2020 10:00,Gabarra con camarón fue saqueada dos veces en Guayaquil,"

Seis PPL fallecieron por amotinamiento en cárcel de Quevedo

La Policía llegó a la cárcel para retomar el control, mientras los familiares de los PPL también se..."
32,13 de abril de 2020 17:52,Ecuatorianos denuncian robo de equipaje en vuelo humanitario,"

Seis PPL fallecieron por amotinamiento en cárcel de Quevedo

La Policía llegó a la cárcel para retomar el control, mientras los familiares de los PPL también se..."
33,17 de marzo de 2020 09:17,Coronarivus: Ladrones roban miles de mascarillas en Alemania,"

El veneno de una serpiente impide la multiplicación del virus Sars-Cov-2

Investigadores de la Universidad Estatal Paulista de Brasil realizaron el estudio con una especie ve..."
34,10 de marzo de 2020 08:06,Roban más de $15 millones de un camión blindado en Chile,"

El veneno de una serpiente impide la multiplicación del virus Sars-Cov-2

Investigadores de la Universidad Estatal Paulista de Brasil realizaron el estudio con una especie ve..."
35,06 de marzo de 2020 11:00,"Detienen a ""La Chilena"", mujer que vació casa donde le dieron posada","

Seis PPL fallecieron por amotinamiento en cárcel de Quevedo

La Policía llegó a la cárcel para retomar el control, mientras los familiares de los PPL también se..."
36,27 de febrero de 2020 09:53,"Siete procesados en Bolívar se robaron celulares, un vehículo y hasta un perro","

Seis PPL fallecieron por amotinamiento en cárcel de Quevedo

La Policía llegó a la cárcel para retomar el control, mientras los familiares de los PPL también se..."
37,21 de febrero de 2020 16:07,Perú recuperó manuscrito inca escrito por un descendiente de Huayna Capac,"

MAAC abordará conversatorio virtual sobre procesos de arte fuera de la institucionalidad

Los ponentes será de países como Ecuador, Chile, Suiza, España y Brasil."
38,14 de enero de 2020 12:14,Delincuentes incendian cajero en centro de revisión vehicular de Capulispamba,"La atención en el Centro de Revisión Técnica Vehicular (RTV) de Capulispamba (norte de Cuenca) fue suspendida este martes 14 de enero del 2020, luego de que delincuentes provocaran un incendio al intentar robar un cajero automático en el interior de sus instalaciones. "
39,06 de enero de 2020 13:12,"Por agujero, delincuentes entran a robar en entidad financiera","

Seis PPL fallecieron por amotinamiento en cárcel de Quevedo

La Policía llegó a la cárcel para retomar el control, mientras los familiares de los PPL también se..."
40,05 de enero de 2020 12:58,Retenidos cuatro sospechosos de robo en la Ecovía,"Cuatro personas han sido retenidas en el sistema de transporte municipal tras ser señaladas como sospechosos de robo en una unidad de la Ecovía en la capital del país, se conoció retenidas este sábado 4 de enero de 2020."
41,02 de enero de 2020 15:33,Motorizado fue herido de bala durante robo en Guayaquil,"

Seis PPL fallecieron por amotinamiento en cárcel de Quevedo

La Policía llegó a la cárcel para retomar el control, mientras los familiares de los PPL también se..."
42,16 de diciembre de 2019 15:27,Ilegales pide ayuda para recuperar sus instrumentos en España,"Cinco guitarras y un bajo de la banda asturiana fueron sustraídos de su furgoneta, en Cataluña, el 14 de diciembre de 2019. Los músicos han difundido detalles de los instrumentos en redes sociales."
43,14 de diciembre de 2019 18:00,Roban datos bancarios de unos 29.000 empleados de Facebook,"

El veneno de una serpiente impide la multiplicación del virus Sars-Cov-2

Investigadores de la Universidad Estatal Paulista de Brasil realizaron el estudio con una especie ve..."
44,10 de diciembre de 2019 13:37,Adulta mayor murió en un robo en su casa en Guayaquil,"

Seis PPL fallecieron por amotinamiento en cárcel de Quevedo

La Policía llegó a la cárcel para retomar el control, mientras los familiares de los PPL también se..."
45,30 de noviembre de 2019 00:00,Consumo de droga y robo de cajetines,"Se está haciendo costumbre que consumidores de “H” en la zona céntrica de Guayaquil, en 9 de Octubre y Baquerizo Moreno o el sector de P. Icaza, se aprovechan del ancho de los pilares estructurales para realizar consumo de droga, necesidades biológicas y en la noche y madrugada, entre la 01:00 y 03:00, el robo de tapas de cajetines de fibra o cable, de tapas de registros, rejillas de transformadores, medidores de agua, reflectores, simplemente el centro de la ciudad, en la madrugada, es tierra de nadie. "
46,22 de noviembre de 2019 10:15,Roban equipos tecnológicos de la final de la Libertadores,"

Club Ñañas y Deportivo Cuenca se volverán a enfrentar en la final de la Superliga Femenina

La tercera edición de la competencia ya tiene a los dos clubes clasificados que disputarán el título"
47,07 de noviembre de 2019 00:51,Una fuente radioactiva fue sustraída en el sur de Quito,"

Seis PPL fallecieron por amotinamiento en cárcel de Quevedo

La Policía llegó a la cárcel para retomar el control, mientras los familiares de los PPL también se..."
