,fecha,titulo,descripcion
0,21/08/2021,"Zozobra en Zabala de Calderón, en el norte de Quito, por la inseguridad","La mañana de este sábado 21 de agosto del 2021, los vecinos de Zabala de Calderón realizaron un plantón con pancartas y carteles."
1,20/08/2021,"42 personas fueron detenidas por robos, hurtos y otros delitos en el interior del Trolebús y Ecovía en el 2021",Los operativos de control de seguridad de los usuarios en las unidades del transporte municipal se reforzaron en Quito.
2,05/07/2021,7 robos en los últimos 15 días en Pomasqui; moradores han colocado cámaras para resguardar casas y locales,"Los moradores del barrio Bolívar, parroquia de Pomasqui, se encuentran preocupados por la inseguridad que vive el sector."
3,01/07/2021,144 cámaras reforzarán la seguridad en las 18 parroquias de Ambato para evitar el robo y abigeato,El plan es impulsado por el Comseca y tiene el apoyo de la Policía Nacional y las juntas parroquiales.
4,21/05/2021,Agentes de tránsito ayudaron a detener a dos hombres que amedrentaban a conductores en el playón de La Marín,Dos agentes civiles de tránsito colaboraron en la detención de dos hombres que supuestamente amedrentaron a los conductores que circulaban por el playón de La Marín.
5,20/04/2021,"Así operan sospechosos en robo a vehículos, locales y casas","Aprovechan la oscuridad de la noche y las calles desoladas. Ese fue el ambiente en común en el que se desarrollaron intentos de robo a un local, una casa y un vehículo, según imágenes difundidas por el ECU 911, este martes 20 de abril del 2021."
6,23/03/2021,Vecinos graban asaltos a conductores en las calles de Quito,"Las personas que residen en barrios del centro de Quito han grabado los momentos en que agresores asaltan a conductores que detienen sus autos por el semáforo en el sector de El Trébol y la vía al valle de Los Chillos, en el centro de la capital. Video: Cortesía"
7,22/03/2021,"1800-delito, la central que ayuda a rastrear secuestros, usura, sicariato, muertes violentas o desapariciones","El turno de ese 14 de agosto del 2019 apenas comenzaba. En la amplia oficina, cubierta con vidrios polarizados, el teléfono sonaba una y otra vez."
8,22/03/2021,Preocupación por robos en el barrio Balcón del Valle,Vecinos del barrio Balcón del Valle han sido víctimas de robos y asaltos. En el sector hay preocupación por la inseguridad. Video: cortesía.
9,22/03/2021,"Los robos atemorizan a los vecinos del barrio Balcón del Valle, en Quito","La calle 15 de Noviembre del barrio Balcón del Valle, ubicado a la altura del puente 2 de la autopista General Rumiñahui, oriente de Quito, se ha convertido en un foco de inseguridad, indican los moradores. Aseguran que los robos y asaltos se reportan a cualquier hora y se organizan para conformar brigadas de seguridad."
10,17/03/2021,Testimonio de inseguridad: ‘En tres meses se produjeron dos robos en mi restaurante’,"El video de un asalto a mano armada, registrado a las 21:15 del lunes 15 de marzo del 2021 en el norte de Quito, se difundió ayer de forma masiva en las redes sociales. En las imágenes se observa que un grupo de tres hombres ingresa al establecimiento y uno de ellos saca un arma de fuego."
11,01/03/2021,En apenas 12 días una mujer sufrió dos asaltos en Cumbayá y Quito,"Lorena (nombre protegido), de 38 años, sufrió un asalto cuando salió a trabajar en el automóvil de su prima, al mediodía del jueves 11 de febrero del 2021, en una zona abandonada cerca de Lumbisí y San Francisco de Pinsha, en la parroquia Cumbayá, en el oriente de Quito."
12,17/02/2021,EE.UU. acusa a 3 hackers norcoreanos de múltiples robos a bancos digitales,EE.UU. acusó este miércoles 17 de febrero del 2021 a tres piratas informáticos norcoreanos de participar en una red encargada de múltiples ciberataques a instituciones financieras y empresas que resultaron en el robo de USD 1 300 millones en dinero y criptomonedas.
13,15/12/2020,Policía capturó a 12 personas sospechosas de vender droga y robar en los alrededores de los mercados de Ambato,"Las 12 personas que supuestamente vendían droga y se sustraían objetos de los transeúntes que se movilizaban en los alrededores de los mercados Modelo, Central y Artesanal permanecerán detenidos en la cárcel de Ambato desde este martes 15 de diciembre del 2020."
14,15/12/2020,Agentes especiales capturan a sospechosos de asaltos y robos en Machachi,"Un grupo de agentes especiales de la Policía Nacional realizó un operativo en el que capturaron a un grupo de personas en Machachi, al sur de Quito. Los sospechosos son señalados por asaltos tipo 'sacapintas' y robos a tiendas y gasolineras. Video: Cortesía"
15,15/12/2020,"Asaltantes que robaban tiendas, gasolineras y a clientes de bancos en Machachi fueron capturados","Asaltaban tiendas, gasolineras y a las personas que salían de los bancos, bajo la modalidad de sacapintas. Iban armados, eran violentos y se movilizaban en vehículos tipo taxis."
16,13/12/2020,Policía refuerza la vigilancia en centros de comercio de Guayaquil,"Los dispositivos para reforzar la seguridad de las personas por festividades de Navidad y Fin de Año están activados. El domingo 13 de diciembre de 2020, se visualizaron varios contingentes policiales en los principales puntos de comercio en Guayaquil."
17,10/12/2020,Asalto a transeúnte en el sur de Quito se registró en video; la Policía detuvo a tres sospechosos,"El video dura dos minutos y tres segundos. Fue captado a las 05:36 del martes 1 de diciembre del 2020 en el circuito Eloy Alfaro, en el sur del Distrito Metropolitano de Quito."
18,07/12/2020,316 zonas comerciales del país tendrán más patrullajes,"Las seguridades se refuerzan en diciembre. Los servicios de Inteligencia, investigación y policías urbanos tienen la orden de incrementar los patrullajes antidelincuenciales en las zonas comerciales."
19,03/12/2020,"Podcast: Entérese con EL COMERCIO, 4 de diciembre del 2020","Manténgase informado con el podcast: Entérese con EL COMERCIO. A continuación, los temas más destacados de EL COMERCIO este viernes 4 de diciembre del 2020."
20,03/12/2020,"1 739 motos se usaron para robar, perpetrar crímenes y llevar droga en el país","Las escenas se repiten. Personas armadas asaltan en la vía, atacan locales con pistolas, roban y huyen en motos."
21,03/12/2020,25 detenidos dejan los primeros operativos de seguridad en Guayaquil,"Los primeros operativos de control, por parte de los 500 policías que refuerzan la seguridad en Guayaquil, dejan como resultado 25 detenidos y seis armas de fuego incautadas. Así lo informó la subcomandante de la Policía Tannya Varela, el jueves 3 de diciembre del 2020."
22,30/11/2020,Los robos a locales se cometen con mayor violencia en Ecuador,"Los reportes son permanentes. Solamente el viernes, casi a la misma hora, armados perpetraron dos robos a locales que funcionan en Quito. Antes, una panadería y dos restaurantes también fueron asaltados."
23,27/11/2020,"Gustavo Ruiz, representante de pequeños empresarios de Pichincha: ‘Vemos acciones violentas y no tenemos ninguna posibilidad de defensa’","Entrevista a Gustavo Ruiz, representante de pequeños empresarios de Pichincha. ¿Cómo ve la Cámara de la pequeña y mediana empresa de Pichincha ante los últimos asaltos ocurridos en Quito? Hay mucho temor. Lamentablemente nosotros estamos soportando una pandemia, una crisis económica y también una ola de inseguridad. Yo he recibido muchas quejas, sobre todo del sector alimenticio, como los catering o empresas de manufactura de alimentos. Ellos nos cuentan que han sido víctimas de asaltos en lugares donde antes era más seguros. No era común que se asalte en la Kennedy, así como en otras zonas del norte y centro norte."
24,26/11/2020,Imágenes- Así son las maniobras usadas para robar casas en Guayaquil,Las cámaras de la Corporación de Seguridad Ciudadana de Guayaquil grabaron las distintas maniobras que emplean los sospechosos para ingresar a viviendas y robar casas en el Puerto Principal. Video: Twitter CSCG
