,fecha,titulo,descripcion
0,"agosto 25, 2021","La Policía los agarró con 'teles', cuadros y otros tereques robados a viviendas en Loja",Tres hombres fueron detenidos en sus casas con los objetos que robaban a domicilios. Uno de ellos veía una narconovela cuando lo arrestaron
1,"agosto 24, 2021",‘Pillo’ se llevó la ‘bici’ a un agente de la ATM y la policía la recuperó,El delincuente pretendía sustraerse la bicicleta pero fue detenido por agentes policiales.
2,"agosto 15, 2021",¡‘Conde-nados’ al peligro en un barrio de Quito!,"Mujeres y niños son las ‘presas’ preferidas para los pillos, en el Conde, aseguran los moradores. Dicen que no hay patrullajes de la Policía."
3,"agosto 12, 2021",Durán: por robarse una lavadora cayeron en manos de la Policía,Dos sujetos ingresaron a un inmuebles de una populosa zona de ese cantón para sustraerse el electrodoméstico
4,"agosto 11, 2021",La empleada de la botica asaltada en Sauces 6 busca superar el trauma con calmantes,"La vendedora que fue golpeada, amarrada y arrastrada por una pareja, aún no se repone del susto. Los 'choros' habrían participado en robos similares"
5,"agosto 11, 2021",¡Bien ‘perreado’ y al hueco!,"En redes circulan los videos de la ‘despedida’ de Cristian Lamilla, quien murió tras un accidente. Jefe de la Policía dijo que la víctima cometía robos."
6,"agosto 11, 2021",Guayaquil: Ladrones arrastraron y golpearon a empleada de una farmacia,"Los antisociales, un hombre y una mujer, habrían participado en otros delitos similares"
7,"agosto 10, 2021",Robos y más robos a pescadores,
8,"agosto 06, 2021",¡En La Argelia están dominados por la delincuencia!,Los robos son constantes y los pillos atacan con más agresividad. Un policía dice que no hay suficiente contingente para contrarrestar este problema.
9,"agosto 06, 2021",¡Ocho robos a mano armada en menos de 48 horas en Quevedo!,"Delincuentes no sueltan las armas, pues en cada hecho delictivo las utilizaron para amedrentar a sus víctimas"
10,"agosto 03, 2021","Brigadas comunitarias se imponen a la delincuencia de los 'Robin Hood', en Quito",Los pillos han sido bautizados con ese nombre en algunos barrios. Ofrecen seguridad a cambio de dinero o territorio para sus negocios ilícitos.
